filename,caption
test_1.jpg,<SOS>This photo is taken outside on a sunny day. A group of people are walking on a sidewalk in front of a brick building. Two carted vehicles are parked next to the buildings. Buildings can be seen in the background behind the vehicles. A blue sky is overcast and cloudless.<EOS>
test_2.jpg,<SOS>A man in a yellow snow suit is snowboarding down a hill. He has a blue and black snowsuit on and has a black helmet on. His ski poles are white and he is holding his ski sticks in the air.  There is a large shadow of the snowboarder on the ground behind him.<EOS>
test_3.jpg,<SOS>A bedroom is shown with brown and white pillows. There is a brown dresser in the room. There are two white lamps on the ceiling.  The floor is made of brown tiles.  A brown suitcase is sitting against the wall.  There are white sheets and pillows on top of the bed.<EOS>
test_4.jpg,"<SOS>This is a picture of a train. The train is red, white and yellow. The windows are white with maroon trim. A yellow line is running down the middle of the train. Beside the train is a white building with brown windows. A cargo car is on the left side of the picture.<EOS>"
test_5.jpg,<SOS>A yellow and white bus is driving down a street.  The bus is parked in front of a brick building that has a green and white sign on the front door.  Across the street from the bus is a building with a red brick facade.  Two people are walking down the sidewalk on the left side of the photo.<EOS>
test_6.jpg,<SOS>This is an image of a farm. The farm has grass and small trees on it. The grass is dry and small. The side of the road is wet. The road is gray and has cracks in it. There is a large fluffy sheep lying on the grass. The sheep has a white face. The Sheep has a black nose and ears.<EOS>
test_7.jpg,<SOS>A man is sitting in a chair talking to a friend. He is wearing glasses and a red shirt. There is another man next to him in a white shirt with a red tie. They are all staring at the red laptop. The chair the man is in is made of wood and shiny.  There is a light on in front of the glasses.<EOS>
test_8.jpg,<SOS>There are two people walking on the sidewalk. There is a red car next to them on the street. There's a bicycle to the left of the two people. There are plastic bags next to the bags. The sidewalk is wet and there are cars on the road.  The cars are white.<EOS>
test_9.jpg,"<SOS>A large black and silver laptop is sitting on a desk. There are several knives, scissors, and other objects on the desk. The desk has a wooden border. There is a cell phone to the left of the laptop. The cell phone is silver and black. The wall around the laptop is a dark gray color.<EOS>"
test_10.jpg,<SOS>A crooked clock is sitting on top of a white statue of a horse.  The clock has roman numerals and is round with a pointed nose.  Behind the clock is a pile of gold and on the top of that is a decorative piece of pottery.<EOS>
test_11.jpg,<SOS>A yellow train is stopped at a train station. There is a blinking yellow stripe going down the side of the train. The train is a passenger train. There are many windows on the train to the right of the driver. The sky is partly cloudy and grey.<EOS>
test_12.jpg,"<SOS>A person is bending down over a long river.  The person is holding a yellow, green, rope around their neck.  They are on a small embankment that goes around the body of water.  On either side of the river are lush green trees with green leaves.<EOS>"
test_13.jpg,"<SOS>A plate of food is on a wooden table. There is a green plate with tomatoes, peppers, and onions on it. Next to the plate is a glass of water with a red flower in it. There are slices of bread on the plate. The table is made of wood and the bottom of the table is white.<EOS>"
test_14.jpg,<SOS>A large black and white cow is standing on a grassy field. The cow has black horns. There are several trees surrounding the cow.  There is a chain link fence behind the cow in the field.  Some grass can be seen in front of the fence.  The cows have white fur on their heads.<EOS>
test_15.jpg,<SOS>There is a man wearing a white shirt and green shorts walking on a skateboard. The man is looking up at the flying saucer on the left of him. In the distance there is a small house with a red and white curtain on it. Above the house there are trees with green leafs.  The sky is clear and blue.<EOS>
test_16.jpg,<SOS>A train is sitting on tracks. The train is blue and yellow. It has stripes on the front of the train. There are trees next to the train and in front of it. The trees are bare. There is dirt in between the trees.  The train cars by the trees are silver in color.<EOS>
test_17.jpg,<SOS>A bathroom with white walls. The toilet is white and the sink is white as well. There is a roll of toilet paper on the wall next to the toilet.  The shower curtain is hanging over the sink and is a dark brown color.  On the other side of the toilet you can see a mirror and a shower head.<EOS>
test_18.jpg,"<SOS>A surfer in a black wet suit is riding a wave on a white surfboard. The surfboard is black and the edges are smooth. The water is splashing around the surfer, who is face down. In the background, there is a steeple of white foam that is covering the top of the wave.<EOS>"
test_19.jpg,"<SOS>A pizza is sitting on top of a white oven.  The pizza has tomato sauce, cheese and black olives on top.  There is a white wire rack to the left of the pizza.  Next to the pizza there is a black knife and cover over the wire rack.  Shears of smoke are reflecting off of the top of the oven.<EOS>"
test_20.jpg,<SOS>A fire hydrant is sitting by the side of a sidewalk. The sidewalk is paved and there is white paint all over it. There is one car parked across from the hydrant. The hydrant that is sitting on the ground has black wheels and it is silver in color.<EOS>
test_21.jpg,<SOS>The picture is three zebras in a field. There are clouds in the sky above them. All of them are high in the air. The sky is a bright blue with little white clouds. There is a chain link fence in front of the field. A woman is standing in between the clouds.<EOS>
test_22.jpg,<SOS>There is a airplane in the sky. The airplane is black and white. There is a compass on the wing of the airplane. The sky is very cloudy and foggy. There are ropes attached to the airplane and they are very bright red in color. The ground under the airplane is made of wood.<EOS>
test_23.jpg,<SOS>A woman in a pink shirt and blue pants is standing in front of a blue balloon. There are pink sails in the air behind her. There is a playground behind her with tables covered in mats on top of it.  The woman is riding a skateboard in the water.<EOS>
test_24.jpg,<SOS>A girl is doing a trick with a Frisbee. The frisbee is red and white. She is wearing pink shorts. The girl is wearing sneakers. The sneakers are black. There is a small tree to the right of the girl doing the trick. The ground is covered with bare trees.<EOS>
test_25.jpg,"<SOS>A tennis player is swinging a tennis racket towards a green ball that is soaring towards it. The player is wearing a white, blue and yellow shirt, blue shorts and white socks. The tennis court is blue with white lines. There are white lines painted on the tennis court in the background.<EOS>"
test_26.jpg,<SOS>There is a vase on the table with flowers. The vase is yellow and blue. The flowers in the vase are small. There is a fence surrounding the table. The fence is made of wood. The table is white with some brown trim on it. There are some small flowers on the outside of the fence.<EOS>
test_27.jpg,"<SOS>A person is standing on the beach flying a kite. The kite is red, blue and yellow. It is time for the kite to be flying high in the sky. The sky is clear and blue. In the center of the picture there is a body of water. Behind the water is a hill with sand on it.<EOS>"
test_28.jpg,<SOS>A white plate is sitting on a table. There is broccoli and meat on top of the plate. The broccoli is seasoned and there is a brown sauce under the broccoli.  There is also seasonings on the meat.  The plate the plate is on is made of wood.<EOS>
test_29.jpg,<SOS>A stop sign is sitting on top of a metal pole. The sign is white with black letters. There are two red signs under the stop sign. The signs are both upside down. Behind the sign are skyscrapers. The sky is blue with white clouds in it. There is also a wooden pole on the side of the building.<EOS>
test_30.jpg,"<SOS>A man is wearing a white shirt and white shorts. He is holding a black, red and blue tennis racket and is swinging the racket with his left hand. There are people sitting in the stands watching the man play tennis.<EOS>"
test_31.jpg,<SOS>The image is of a beach. The water is calm and blue. There are small waves in the water behind the water. The horizon on the left is dark blue with white clouds. There is a small mountain in the background that is covered with green moss. The rock on the beach is dark gray.<EOS>
test_32.jpg,<SOS>A man flies a kite. The kite is clear and blue. There are many trees off in the distance. The man is wearing a white shirt and blue jeans. He is flying the kite in the air.  There is a small pole next to the trees. Part of a building can be seen in the background of the photo.  It is sunny.<EOS>
test_33.jpg,<SOS>A sheep is standing on the edge of a mountain.  The mountain has grass all along the edge.  Some of the grass is gold.  There are also other sheep all together.  One of the sheep has a white face and his legs are up in the air.<EOS>
test_34.jpg,<SOS>A white truck is parked in the middle of a parking lot. There are multiple cars in the parking lot including a white minivan and a pickup truck in the back. There is white lines painted on the street in front of the truck.  The truck has black tires.<EOS>
test_35.jpg,<SOS>There is a stop light on the street. There is a silver light attached to the pole next to the street sign. There are two headlights on the stop light. The sky is partly cloudy and dark looking. There's a black motorcycle in front of the motorcycle.<EOS>
test_36.jpg,<SOS>A woman is balancing on her shopping bus while holding a red and white umbrella.  She is wearing a red long sleeve shirt and black pants.  The bus is stopped at a red brick building with many windows.  People are standing around the bus waiting to get on the bus.<EOS>
test_37.jpg,<SOS>A man in a black jacket and black pants stands near a ski lift. There is a sign on the side of the lift that has snow on top of it. There are several people milling about in the snow.  There is another lift waiting for the man in the black jacket.  The lift has orange and yellow lights on it.<EOS>
test_38.jpg,<SOS>A large white cow is grazing in tall green grass.  The cow has black and brown eyes and is laying down.  There is a chain link fence behind the cow and trees in the distance.  Across the street from the cow is a large tree with green leaves.<EOS>
test_39.jpg,"<SOS>A woman is walking down the sidewalk carrying a colorful umbrella.  The woman is wearing a light blue shirt, dark pants and a black leather jacket.  Her umbrella is green and has a hexagonal design at the top.  There are mountains and grass on the left side of the path.<EOS>"
test_40.jpg,<SOS>There are several buses on the street. The bus on the right is color white with a black roof. There is a tree to the left of the bus with gray leaves on it. There are people walking on the sidewalk next to the bus. The grass is very green and bushy.<EOS>
test_41.jpg,<SOS>This is a picture of a counter in a restaurant. There is a round white plate in front of the counter with doughnuts in it. There are large silver utensils hanging from the handles on the side counter.<EOS>
test_42.jpg,<SOS>A man and a boy are standing on the shore of a body of water. There is a boy in shorts and standing on top of a white surfboard. There are small waves surrounding the boy. In the back of the boy there is a white and small elephant.<EOS>
test_43.jpg,<SOS>A man is wearing a white shirt and gray shorts. He is holding a white frisbee in his hand. Another man can be seen standing in front of him wearing a red shirt and black shorts. A soccer ball is soaring in the air towards the man. It is sitting on a black surface in the middle of a field.<EOS>
test_44.jpg,<SOS>This is an image of a large body of water. The water is blue and has many white clouds in it. There are trees in the distance behind the water. Some of the trees have thin white leaves.  The sky is blue with thin white clouds.  Several cars are flying in the sky.<EOS>
test_45.jpg,<SOS>A boy is in the air upside down. He is wearing blue jeans and a black t-shirt. His skateboard is upside down and hanging upside down at a skateboard park. There are scaffolding in front of the skateboarder. There is gray graffiti on the side of the ramp.  There are trees behind the scaffolding.<EOS>
test_46.jpg,<SOS>A bird is flying in the sky. There is a large body of water behind the bird. There are small waves in the water. Part of a structure can be seen in the background behind the birds.  Hover over the bird to see what it is looking at.  Write down what you are looking at in writing.<EOS>
test_47.jpg,<SOS>This is an image of a city street. There are several buses driving down the street. The buses are white and red. There is a large brick building with many windows on it in the background. The sky is bright and blue with a few white clouds.<EOS>
test_48.jpg,"<SOS>A bus is on the street in front of a bus stop. The bus is red, white and blue in color. There are tall green trees behind the bus. There is a large building on the side of the bus with multiple windows on it. The street light under the bus is lit up in a rainbow color.<EOS>"
test_49.jpg,<SOS>A brown horse is walking along a small dirt road. Behind the horse and to the left is another brown horse that is walking away from the horse. In the distance is a small fence. A person can be seen walking behind the fence.  The person is wearing a blue jacket and dark pants.<EOS>
test_50.jpg,<SOS>This is a picture of a road. The road has some construction vehicles on it. The construction vehicles are white and red. There is a large sign on the side of the road with directions. The sign says North McFarland Way. Behind the sign is a big parking lot full of cars.<EOS>
test_51.jpg,<SOS>There is a white car parked on the street. There are tall buildings in the background behind the car. There is a red pole with a parking meter on it in front of the car and next to it is a sidewalk that has street lights coming out of it. The sky is blue and mostly clear.<EOS>
test_52.jpg,"<SOS>A woman is running on the sand on a sunny day. She has a black frisbee in her hand. There is a black dog on the beach behind her. In the distance is a line of green trees.   The day is clear and the sky is blue.  The woman is wearing black pants, a black shirt and black shoes.<EOS>"
test_53.jpg,<SOS>A table has three slices of pizza on it. There is a white sheet of paper towels on the table. Next to the sheet of towels is a bottle of water and a knife and fork. There are two plastic bags filled with water and styrofoam cups. The table is wooden and white.<EOS>
test_54.jpg,<SOS>The image is of a skateboarder at a skate park. There are people standing around the ramp preparing to take a picture with their skateboards. There is a green cart behind the ramp with bags ready to go in it.<EOS>
test_55.jpg,<SOS>This is a picture of donuts on a shelf. The donuts are round shaped and are in packages. There is a pink donut on the shelf behind the donuts. There are also round donuts to the right of the donut. The shelf is made of wood. The light is reflecting off of the wooden floor.<EOS>
test_56.jpg,<SOS>A sandwich cut in half sits on a light brown paper plate. Next to the sandwich is a thick cut square of sauerkraut with melted cheese and lettuce. A glass of water is behind the plate. Behind the plate is a long wooden table covered with a brown napkin.<EOS>
test_57.jpg,<SOS>A motorcycle is parked on the side of a road. The motorcycle is black and silver. The vehicle has a design on the center console. The design is painted blue and white. There are tall trees behind the motorcycle. The street has tall buildings. There is a flag on a pole in front of the building.<EOS>
